segment_id,n_pixels,centroid_row,centroid_col,centroid_x,centroid_y,mean_B2,mean_B3,mean_B4,mean_B8,mean_NDVI,mean_B11,mean_NDBI
64,1406,201.14154,2452.662,195196.625,3379268.5,718.8542,954.458,1077.4559,2302.0747,0.39062974,1808.8297,-0.10982848
65,1167,200.9126,2670.5647,197375.640625,3379270.75,324.5844,511.91046,502.2652,2354.1475,0.6508649,1812.5936,-0.1095992
66,1550,201.60904,2785.8264,198528.265625,3379264.0,537.7471,796.8361,889.0264,2431.8032,0.4941625,1814.585,-0.13655563
67,1462,204.82832,2560.7366,196277.359375,3379231.75,565.9183,783.2315,859.2969,2099.558,0.423464,1810.6984,-0.06093061
68,1224,205.45833,2710.938,197779.375,3379225.5,397.33087,636.3468,649.71814,2317.3264,0.5683336,1813.2932,-0.11040828
69,1249,202.68535,3039.8071,201068.0625,3379253.25,267.04404,423.29224,402.9988,2171.5537,0.70470613,1818.9728,-0.077617854
70,1642,202.68271,3465.6663,205326.65625,3379253.25,354.04355,408.39404,375.7686,1718.1532,0.63092726,1826.3296,0.056442596
71,1329,208.89842,2892.9722,199599.71875,3379191.0,291.49133,497.71707,472.20465,2632.2693,0.7053841,1816.4393,-0.16448063
72,1267,203.14917,2966.0781,200330.78125,3379248.5,291.85358,460.29755,377.3982,2421.7292,0.732971,1817.6995,-0.13027538
73,1111,205.49326,3109.4573,201764.578125,3379225.0,400.0864,570.16516,611.39246,2508.148,0.6278818,1820.1774,-0.14608453
74,1500,207.09666,2413.52,194805.203125,3379209.0,918.95135,1128.9886,1218.5206,2037.8097,0.26047757,1808.1565,-0.03469506
75,1406,210.30014,2521.426,195884.265625,3379177.0,434.6401,622.9065,630.66534,2176.3225,0.5685838,1810.022,-0.08169466
76,1505,212.37209,3378.6025,204456.03125,3379156.25,375.894,527.98505,551.59534,2435.581,0.63969433,1824.8301,-0.11569698
77,1317,214.87851,2930.3394,199973.390625,3379131.25,264.66135,426.7183,337.3409,2761.634,0.7837387,1817.0876,-0.18603227
78,1286,215.74184,2485.7925,195527.921875,3379122.5,440.98563,632.18665,665.83124,2120.9802,0.52700907,1809.4092,-0.0669238
79,1372,215.56778,3303.8142,203708.140625,3379124.25,275.15744,368.2325,273.45663,2260.039,0.7740773,1823.5397,-0.08020314
80,1309,215.18869,3419.3835,204863.84375,3379128.0,346.20972,437.10733,393.09665,2119.8667,0.6741853,1825.5359,-0.025066318
81,1403,217.20456,3515.5247,205825.25,3379108.0,272.76373,418.0,387.6618,2735.4202,0.7514372,1827.1978,-0.18064767
82,1241,219.99033,3173.0193,202400.1875,3379080.0,445.26996,616.0826,676.55,2715.5186,0.6080643,1821.2822,-0.18359105
83,1242,218.85507,2609.0579,196760.578125,3379091.5,447.2194,692.08496,733.7512,2336.9236,0.52123827,1811.5398,-0.115840465
84,1312,218.93903,2745.6753,198126.75,3379090.5,373.3186,576.92566,567.74426,2262.5369,0.6054245,1813.8998,-0.09432528
85,1257,216.67224,3003.2236,200702.234375,3379113.25,230.23389,371.69452,270.1754,2489.4375,0.802142,1818.3475,-0.13707969
86,1331,220.41772,2824.8596,198918.59375,3379075.75,500.0759,740.98047,838.8745,2340.8384,0.52734447,1815.2683,-0.11980473
87,1083,222.13297,3138.9678,202059.671875,3379058.75,412.25946,594.48846,696.4566,2573.3306,0.5823935,1820.6951,-0.1643256
88,1257,224.49562,3206.3174,202733.171875,3379035.0,378.31424,517.07874,517.41327,2683.421,0.6772564,1821.8596,-0.17565997
89,1318,229.0607,2379.8635,194468.640625,3378989.5,900.36725,1112.7064,1206.0151,1694.9264,0.1361764,1807.5859,0.084155485
90,1244,225.61012,3073.6086,201406.09375,3379024.0,213.28697,337.44495,263.30106,2071.5044,0.7740587,1819.5676,-0.050562654
91,1281,228.00624,3241.2498,203082.5,3379000.0,388.32278,549.54254,594.02496,2375.0566,0.61307937,1822.4647,-0.11011543
92,1222,227.28642,2647.176,197141.765625,3379007.25,384.2279,608.4137,616.7328,2357.4092,0.5908037,1812.2024,-0.11991433
93,1401,227.79872,3338.97,204059.703125,3379002.0,306.24374,452.7641,376.34225,2753.241,0.7516357,1824.1527,-0.16501014
94,1259,234.97299,3273.5537,203405.53125,3378930.25,299.62073,447.64456,398.11914,2669.0176,0.7408674,1823.0261,-0.17268516
95,1181,233.8027,2685.4395,197524.390625,3378942.0,274.6596,459.66595,423.38525,2268.188,0.6939826,1812.8665,-0.09659914
96,1384,237.48627,3483.5737,205505.734375,3378905.25,282.08163,405.5654,358.92413,2526.421,0.74971133,1826.6553,-0.13872217
97,1335,240.07715,2581.1191,196481.1875,3378879.25,430.0292,645.35016,665.24756,2338.6877,0.5631458,1811.0675,-0.11899405
98,1198,237.95827,2773.2854,198402.859375,3378900.5,320.27963,501.28464,459.47998,2204.7712,0.6705761,1814.3859,-0.086426206
99,1338,241.64125,3445.3499,205123.5,3378863.5,355.08295,483.51868,429.3296,2757.5513,0.7263275,1825.997,-0.18153642
100,1341,240.91722,2541.314,196083.140625,3378870.75,532.44446,714.6186,765.1107,2122.7893,0.4842361,1810.3804,-0.06706327
101,1424,238.76053,2859.5464,199265.46875,3378892.5,429.07443,644.5934,728.99506,2263.7197,0.5539922,1815.8762,-0.10398929
102,1184,237.00084,2969.7366,200367.359375,3378910.0,321.24408,493.04224,372.8125,2916.9097,0.766129,1817.7788,-0.20565158
103,1069,233.2189,2335.8494,194028.5,3378947.75,1230.3358,1453.7764,1643.3236,2203.405,0.17049575,1806.8276,-0.09354459
104,1176,236.46599,3038.636,201056.359375,3378915.25,250.76828,396.84778,309.59735,2349.3435,0.7655188,1818.9688,-0.104249224
105,1356,242.44101,2300.9277,193679.28125,3378855.5,677.3282,856.63055,936.08594,1928.65,0.37159327,1806.229,-0.015583591
106,1467,240.68643,2454.7573,195217.578125,3378873.25,277.68405,455.7246,381.8306,2258.3313,0.7139712,1808.8851,-0.100507624
107,1152,239.55382,3107.947,201749.46875,3378884.5,319.6354,459.55643,466.39627,2205.4675,0.65967643,1820.1675,-0.080155626
108,1205,246.81245,2804.2532,198712.53125,3378812.0,378.9419,577.7336,593.6415,2402.2996,0.6254398,1814.925,-0.12722781
109,1181,244.11092,2716.8806,197838.8125,3378839.0,208.71634,370.6901,331.51862,2157.8958,0.73604345,1813.4146,-0.07576034
110,1371,245.51204,2416.3188,194833.1875,3378825.0,466.92123,668.10065,652.3778,2108.3145,0.5423268,1808.2236,-0.07073002
111,1314,244.98402,2897.376,199643.765625,3378830.25,272.2968,447.3714,413.00153,2279.1013,0.7076225,1816.5327,-0.10331082
112,1238,247.52585,3407.8296,204748.296875,3378804.75,462.40308,599.5602,671.84045,2323.2576,0.56912845,1825.3516,-0.071532205
113,1410,250.00851,2497.4326,195644.328125,3378780.0,430.98264,606.3007,616.32056,2172.5698,0.5689395,1809.6268,-0.08520516
114,1264,249.80617,3370.053,204370.53125,3378782.0,385.8224,553.1108,589.89716,2470.8635,0.62032884,1824.7001,-0.090382904
115,1203,249.41646,2936.5942,200035.9375,3378785.75,197.54031,334.53116,228.28595,2394.6235,0.82650375,1817.2123,-0.12927072
116,1237,252.79466,2624.7083,196917.078125,3378752.0,261.05862,435.22595,366.58044,2279.2874,0.7241625,1811.8265,-0.103690125
117,1370,253.2854,3523.438,205904.375,3378747.25,253.40584,388.7595,328.53357,2661.4873,0.7800126,1827.3513,-0.16043021
118,1144,251.33566,3002.9143,200699.140625,3378766.75,272.09485,433.9987,322.37805,2667.563,0.7758758,1818.3588,-0.15838657
119,1284,254.75389,3148.588,202155.875,3378732.5,436.3894,616.9766,678.27997,2552.142,0.58735466,1820.8767,-0.15409954
120,1346,256.2994,3304.8171,203718.171875,3378717.0,386.302,563.2452,532.4313,2974.2822,0.69277376,1823.5762,-0.21283595
121,1037,257.0058,2348.999,194159.984375,3378710.0,688.88043,894.1919,945.5853,1501.7478,0.16450979,1807.0664,0.1632555
122,1291,257.6251,3187.0286,202540.28125,3378703.75,315.41052,454.42874,439.5573,2407.354,0.69574994,1821.5421,-0.11710507
123,1144,261.63898,2261.188,193281.875,3378663.5,561.5612,743.28235,655.88416,929.1412,0.03574077,1805.552,0.4082767
124,1311,261.46225,3224.141,202911.40625,3378665.5,287.78757,422.4588,406.1724,2247.545,0.70231235,1822.185,-0.08479348
125,1302,262.38403,2667.0845,197340.84375,3378656.25,199.18971,364.3575,294.2258,2293.415,0.7717118,1812.5632,-0.10121133
126,1266,262.93207,2746.09,198130.90625,3378650.75,197.10742,355.9542,276.83728,2295.3152,0.784179,1813.9281,-0.106334895
127,1369,266.81885,2832.0366,198990.375,3378611.75,306.8181,497.50037,487.57925,2392.981,0.6772378,1815.4146,-0.12417973
128,1253,262.19794,3074.2363,201412.359375,3378658.0,238.36313,373.6277,285.53992,2329.5918,0.77953064,1819.596,-0.10524974
129,1191,265.0277,2382.5012,194495.015625,3378629.75,519.29175,741.59485,790.09485,2095.8484,0.45695546,1807.649,-0.06667212
130,1241,267.28687,3338.282,204052.8125,3378607.25,294.44803,450.3739,425.1813,2690.3772,0.73406506,1824.1595,-0.16537376
131,1318,270.07208,3263.0515,203300.515625,3378579.25,367.10242,529.1908,611.14075,2196.111,0.5734578,1822.8612,-0.07686534
132,1223,273.88553,2522.3801,195893.796875,3378541.25,395.67825,607.5315,569.3406,2353.2866,0.62612194,1810.0693,-0.12410939
133,1209,272.6741,2560.5251,196275.25,3378553.25,426.06412,633.93835,649.61456,2263.2114,0.5678543,1810.7277,-0.103138074
134,1185,273.91223,2597.854,196648.53125,3378541.0,513.4578,716.93585,799.0029,2196.7832,0.47903883,1811.3729,-0.08758678
135,1048,267.937,3038.204,201052.046875,3378600.75,266.01862,414.59875,298.41364,2627.317,0.79379946,1818.9763,-0.17285937
136,1119,273.8445,3460.6514,205276.515625,3378541.5,393.15103,547.06256,671.3932,2335.436,0.57299274,1826.2764,-0.10461084
137,1119,270.9875,3110.4004,201774.0,3378570.0,247.27257,382.56567,315.41867,2108.1858,0.74344766,1820.2249,-0.04905993
138,1154,274.6499,3491.3674,205583.671875,3378533.5,292.70233,425.03336,421.8371,2320.1045,0.6899835,1826.8074,-0.10417191
139,1297,275.37933,2224.6877,192916.875,3378526.25,548.76483,719.8678,704.2652,1843.1738,0.39986888,1804.9283,0.04082275
140,1172,278.43515,2321.3413,193883.40625,3378495.75,787.593,1003.91296,1069.6378,1782.3605,0.22769316,1806.5991,0.04322492
141,1206,275.9378,2437.734,195047.34375,3378520.5,303.42496,493.01038,431.32712,2325.9128,0.68695545,1808.6083,-0.11773322
142,1430,277.43076,2874.203,199412.03125,3378505.75,425.36642,634.3105,680.4385,2413.602,0.57396543,1816.148,-0.12776957
143,1163,275.62167,2916.3423,199833.421875,3378523.75,204.71712,370.7214,285.64575,2155.7239,0.77338195,1816.875,-0.07755556
144,1247,272.32077,2967.1372,200341.375,3378556.75,201.56776,355.34323,257.0072,2332.231,0.8004701,1817.7509,-0.11416777
145,1052,276.99146,2289.3052,193563.046875,3378510.0,1141.9929,1349.8374,1425.2771,1654.0271,0.0488894,1806.0452,0.08959013
146,1344,277.41293,2705.5469,197725.46875,3378505.75,177.40105,324.4762,247.78831,2221.8516,0.797097,1813.2347,-0.092228204
147,1376,280.26453,2472.1367,195391.375,3378477.25,413.3499,643.63043,642.3648,2342.95,0.5761308,1809.2046,-0.12149826
148,1393,278.2735,2782.4558,198494.5625,3378497.25,181.44724,323.03302,227.6066,2483.6978,0.8305025,1814.5636,-0.14234555
149,1037,276.4918,3393.1677,204601.671875,3378515.0,378.97638,531.39343,680.5632,2150.9802,0.545626,1825.1119,-0.06745831
150,1232,275.28653,2099.2703,191662.703125,3378527.25,1065.519,1211.2979,1274.9915,1711.5459,0.1569212,1802.7621,0.036915336
151,1258,283.31717,3430.1438,204971.4375,3378446.75,498.77383,666.35376,873.2631,2371.0925,0.47205344,1825.7539,-0.11827375
152,1184,275.36908,2181.9897,192489.90625,3378526.25,553.296,773.739,834.9029,2133.1018,0.3985776,1804.1908,-0.01969261
153,1100,284.19092,3542.8765,206098.765625,3378438.0,336.68274,480.885,449.48953,2593.8777,0.7050036,1827.7017,-0.14811857
154,1334,279.83282,2055.2698,191222.703125,3378481.75,1110.9895,1264.0596,1324.2556,1622.3733,0.11122097,1802.0044,0.064105116
155,1186,277.54553,2139.311,192063.109375,3378504.5,638.5982,800.54974,866.6969,1678.6383,0.30930242,1803.4548,0.061969515
156,1215,286.228,2639.796,197067.953125,3378417.75,275.09918,453.09958,430.47406,2230.6646,0.69326437,1812.1034,-0.09573811
